Date of report export ,03/01/2020 
Selected start date ,01/10/2019 
Selected end date ,31/01/2020 
Menu cycle name ,FOR Local User AUTOMATION  
Meal period names ,Lunch;Brunch  

Date ,Start Date ,End Date ,MenuCycle Name ,Performance Indicator ,Date/Meal Period ,Qty Prod ,Wastage ,Wastage % ,Wastage Cost ,No Direct Charges ,Planned ,Actuals ,+/- 
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NUMBER OF COVERS,,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NUMBER OF COVERS,25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NUMBER OF COVERS,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NUMBER OF COVERS,31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NUMBER OF COVERS,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NUMBER OF COVERS,Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE %,,0,0,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE %,25/12/2019,0,0,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE %,Lunch,0,0,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE %,31/12/2019,0,0,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE %,Lunch,0,0,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE %,Brunch ,0,0,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE (£),,,,,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE (£),25/12/2019,,,,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE (£),Lunch,,,,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE (£),31/12/2019,,,,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE (£),Lunch,,,,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,WASTAGE (£),Brunch ,,,,0,,,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NO CHARGES APPLIED (£),,,,,,138330,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NO CHARGES APPLIED (£),25/12/2019,,,,,69165,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NO CHARGES APPLIED (£),Lunch,,,,,69165,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NO CHARGES APPLIED (£),31/12/2019,,,,,69165,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NO CHARGES APPLIED (£),Lunch,,,,,69165,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NO CHARGES APPLIED (£),Brunch ,,,,,0,,,
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES (£),,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES (£),25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES (£),31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES (£),Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL COST (£),,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL COST (£),25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL COST (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL COST (£),31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL COST (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL COST (£),Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET SALES PER COVER,,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET SALES PER COVER,25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET SALES PER COVER,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET SALES PER COVER,31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET SALES PER COVER,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET SALES PER COVER,Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,COST PER COVER,,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,COST PER COVER,25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,COST PER COVER,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,COST PER COVER,31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,COST PER COVER,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,COST PER COVER,Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET MARGIN PER COVER (£),,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET MARGIN PER COVER (£),25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET MARGIN PER COVER (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET MARGIN PER COVER (£),31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET MARGIN PER COVER (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,NET MARGIN PER COVER (£),Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN (£),,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN (£),25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN (£),31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN (£),Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN (£),Brunch ,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN %,,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN %,25/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN %,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN %,31/12/2019,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN %,Lunch,,,,,,0,0,0
03/01/2020,01/10/2019,31/01/2020,FOR Local User AUTOMATION ,TOTAL NET SALES P/L MARGIN %,Brunch ,,,,,,0,0,0
